user_ID,movie 1,movie 2,movie 3,movie 4,movie 5,movie 6,movie 7,movie 8,movie 9,movie 10,movie 11,movie 12,movie 13,movie 14,movie 15,movie 16,movie 17,movie 18,movie 19,movie 20,movie 21,movie 22,movie 23,movie 24,movie 25
1,Heart Condition (1990),Liberty Heights (1999),Rare Birds (2001),About Adam (2000),Who Is Cletis Tout? (2001),Jesus' Son (1999),Get Real (1998),Dark Blue World (Tmavomodrý svet) (2001),Deuces Wild (2002),Hardball (2001),Gunga Din (1939),West Beirut (West Beyrouth) (1998),"Golden Bowl, The (2000)",On Her Majesty's Secret Service (1969),Pretty Woman (1990),Terminator 2: Judgment Day (1991),For Your Eyes Only (1981),Action Jackson (1988),Firewalker (1986),Blue Car (2002),Love Liza (2002),"Dancer Upstairs, The (2002)",Impostor (2002),Iron Eagle II (1988),Gangster No. 1 (2000)
2,Kill Bill: Vol. 2 (2004),Mandela: Long Walk to Freedom (2013),Louis C.K.: Chewed Up (2008),Louis C.K.: Live at the Beacon Theater (2011),Forrest Gump (1994),Pulp Fiction (1994),John Wick (2014),Pirates of the Caribbean: The Curse of the Black Pearl (2003),"Silence of the Lambs, The (1991)",Sin City (2005),Gangster Squad (2013),"Incredibles, The (2004)","Usual Suspects, The (1995)",Star Wars: Episode VII - The Force Awakens (2015),V for Vendetta (2006),Role Models (2008),Louis C.K.: Shameless (2007),Schindler's List (1993),Batman Begins (2005),Scott Pilgrim vs. the World (2010),X-Men (2000),Super Troopers (2001),Shrek (2001),Fight Club (1999),Harold and Kumar Go to White Castle (2004)
3,"Darkest Hour, The (2011)",City Hunter (Sing si lip yan) (1993),Regarding Henry (1991),Star Trek VI: The Undiscovered Country (1991),"Agony and the Ecstasy, The (1965)",Atragon (Kaitei Gunkan) (1963),"Angry Red Planet, The (1959)",20 Million Miles to Earth (1957),Alice in Wonderland (1933),American Grindhouse (2010),Allegro non troppo (1977),Annie Get Your Gun (1950),Attack of the Puppet People (1958),"10th Victim, The (La decima vittima) (1965)",Attack of the Crab Monsters (1957),Attack of the 50 Foot Woman (1958),As You Like It (2006),Aelita: The Queen of Mars (Aelita) (1924),And Starring Pancho Villa as Himself (2003),Alien from L.A. (1988),Plastic (2014),Florence Foster Jenkins (2016),Shrink (2009),Wizards of the Lost Kingdom II (1989),Tormented (1960)
4,Paper Clips (2004),Sarah Silverman: Jesus Is Magic (2005),Dear Frankie (2004),Harry Potter and the Prisoner of Azkaban (2004),Harry Potter and the Goblet of Fire (2005),Walking and Talking (1996),Heartburn (1986),Tex (1982),"This World, Then the Fireworks (1997)",With Six You Get Eggroll (1968),"Party 2, The (Boum 2, La) (1982)","Do You Remember Dolly Bell? (Sjecas li se, Dolly Bell) (1981)",Leningrad Cowboys Go America (1989),"Piano Teacher, The (La pianiste) (2001)",In July (Im Juli) (2000),Investigation of a Citizen Above Suspicion (Indagine su un cittadino al di sopra di ogni sospetto) (1970),"Angel at My Table, An (1990)","Kiss Me, Stupid (1964)",Dear Diary (Caro Diario) (1994),Jamaica Inn (1939),"Best Man, The (Testimone dello sposo, Il) (1998)",War and Peace (1956),Not One Less (Yi ge dou bu neng shao) (1999),Final Analysis (1992),Rosetta (1999)
5,"Terminator, The (1984)",Speed (1994),Die Hard: With a Vengeance (1995),Ghost (1990),Cliffhanger (1993),Waterworld (1995),Bambi (1942),Jurassic Park (1993),Crimson Tide (1995),Star Trek: Generations (1994),Home Alone (1990),Outbreak (1995),"Net, The (1995)",Reservoir Dogs (1992),Monty Python and the Holy Grail (1975),My Left Foot (1989),Seven (a.k.a. Se7en) (1995),GoldenEye (1995),Forrest Gump (1994),Goodfellas (1990),Independence Day (a.k.a. ID4) (1996),Aliens (1986),Indiana Jones and the Last Crusade (1989),"American President, The (1995)","Godfather, The (1972)"
6,Tully (2000),Children of the Corn II: The Final Sacrifice (1993),Great Balls of Fire! (1989),"Incredible Shrinking Woman, The (1981)",Wild Orchid (1990),Sea of Love (1989),"Ex, The (2007)",Alone in the Dark (2005),Twister (1990),Baby Boy (2001),"Gas, Food, Lodging (1992)","Principal, The (1987)",Comic Book Villains (2002),Let It Ride (1989),My Boyfriend's Back (1993),Leonard Part 6 (1987),"Babe, The (1992)",Kuffs (1992),"Best Little Whorehouse in Texas, The (1982)",Harsh Times (2006),Revenge of the Nerds IV: Nerds in Love (1994),Are We There Yet? (2005),"Mack, The (1973)",Brown Sugar (2002),Faces of Death 3 (1985)
7,"Three Burials of Melquiades Estrada, The (2006)",Four Brothers (2005),Wicker Park (2004),"Return, The (Vozvrashcheniye) (2003)",I Am a Fugitive from a Chain Gang (1932),Raise Your Voice (2004),"Fugitive, The (1993)",Clear and Present Danger (1994),Stargate (1994),Speed (1994),Batman Forever (1995),Reversal of Fortune (1990),Pretty Woman (1990),Sleepless in Seattle (1993),Valentine's Day (2010),V for Vendetta (2006),Aliens (1986),Total Recall (1990),Ace Ventura: Pet Detective (1994),Dances with Wolves (1990),Cliffhanger (1993),Pulp Fiction (1994),"Exorcism of Emily Rose, The (2005)","Shawshank Redemption, The (1994)",Twister (1996)
8,Clear and Present Danger (1994),Cliffhanger (1993),Independence Day (a.k.a. ID4) (1996),Reservoir Dogs (1992),Star Wars: Episode VI - Return of the Jedi (1983),Fargo (1996),Ace Ventura: Pet Detective (1994),Goodfellas (1990),Die Hard: With a Vengeance (1995),Disclosure (1994),Crimson Tide (1995),"Godfather, The (1972)",Mission: Impossible (1996),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Terminator 2: Judgment Day (1991),"Godfather: Part II, The (1974)","Lord of the Rings: The Return of the King, The (2003)",Natural Born Killers (1994),Saving Private Ryan (1998),Fight Club (1999),"Lord of the Rings: The Fellowship of the Ring, The (2001)",Toy Story (1995),Memento (2000),"Matrix, The (1999)",Heat (1995)
9,Valley Girl (1983),Chances Are (1989),Blackboard Jungle (1955),"Glass Menagerie, The (1987)",Cool World (1992),Black Snake Moan (2006),Indiana Jones and the Last Crusade (1989),Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode IV - A New Hope (1977),"Passenger, The (Professione: reporter) (1975)","Child, The (L'enfant) (2005)",3:10 to Yuma (1957),Cassandra's Dream (2007),"Story of Women (Affaire de femmes, Une) (1988)","Marriage of Maria Braun, The (Ehe der Maria Braun, Die) (1979)",Treasure Island (1950),Scanners (1981),"Messengers, The (2007)",Parasite (1982),Bastard Out of Carolina (1996),Two Moon Junction (1988),"Guardian, The (1990)",Friday the 13th Part VII: The New Blood (1988),"Funhouse, The (1981)",Howling II: Your Sister Is a Werewolf (1985)
10,"Sound of Music, The (1965)",Fired Up (2009),"Shawshank Redemption, The (1994)","Monsters, Inc. (2001)","Silence of the Lambs, The (1991)",Lost in Austen (2008),"Railway Children, The (1970)",City Heat (1984),"Liability, The (2012)",In the Electric Mist (2009),Teenage Mutant Ninja Turtles: Out of the Shadows (2016),Life Partners (2014),Anti-Social (2015),"Romantics, The (2010)","Wasp Woman, The (1959)",Liberal Arts (2012),"Warrior's Way, The (2010)",Anything for Love (2016),Florence Foster Jenkins (2016),Poker Night (2014),City Island (2009),Philomena (2013),Footloose (2011),This Is Where I Leave You (2014),Coco Before Chanel (Coco avant Chanel) (2009)
11,Killers (2010),The OA,Hiding Out (1987),Cherish (2002),Copenhagen (2014),Africa: The Serengeti (1994),Three O'Clock High (1987),Fraternity Vacation (1985),Intermission (2003),Jump Tomorrow (2001),December Boys (2007),They Call Me Bruce? (a.k.a. A Fistful of Chopsticks) (1982),Lightning in a Bottle (2004),Uncommon Valor (1983),"Triumph of Love, The (2001)",Moon Over Parador (1988),Bugsy (1991),Beijing Bicycle (Shiqi sui de dan che) (2001),"Man from Elysian Fields, The (2001)",Triumph of the Spirit (1989),Major League II (1994),"Informant!, The (2009)",Formula 51 (2001),Mrs. Doubtfire (1993),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
