movie_Name,user 1,user 2,user 3,user 4,user 5,user 6,user 7,user 8,user 9,user 10
'71 (2014),249,274,380,298,305,68,414,560,561,219
'Hellboy': The Seeds of Creation (2004),434,330,580,239,63,18,247,64,254,573
'Round Midnight (1986),330,239,63,18,247,64,254,573,219,328
'Salem's Lot (2004),271,377,440,555,587,288,146,590,603,51
'Til There Was You (1997),271,377,156,572,84,199,224,606,409,391
'Tis the Season for Love (2015),534,249,292,475,561,380,62,68,18,141
"'burbs, The (1989)",68,573,608,274,249,434,328,239,305,18
'night Mother (1986),414,288,590,606,480,600,599,68,387,64
(500) Days of Summer (2009),608,274,381,380,64,154,305,239,438,182
*batteries not included (1987),608,480,249,68,489,288,434,380,182,64
...All the Marbles (1981),345,271,555,288,477,469,590,51,387,600
...And Justice for All (1979),414,217,57,434,288,452,590,160,606,480
00 Schneider - Jagd auf Nihil Baxter (1994),305,249,62,573,63,561,239,68,247,434
1-900 (06) (1994),350,492,337,277,270,364,529,451,389,151
10 (1979),249,68,414,275,298,380,599,561,597,274
10 Cent Pistol (2015),249,68,414,475,298,380,599,561,274,608
10 Cloverfield Lane (2016),274,380,298,305,177,381,63,68,434,239
10 Items or Less (2006),68,274,480,64,425,219,438,45,182,414
10 Things I Hate About You (1999),438,608,266,230,425,352,64,223,469,217
10 Years (2011),249,68,414,298,380,599,561,274,608,288
"10,000 BC (2008)",599,608,474,274,288,399,590,448,226,307
100 Girls (2000),483,64,380,249,561,599,298,307,219,480
100 Streets (2016),249,68,414,298,380,599,561,274,608,288
101 Dalmatians (1996),43,136,117,447,436,337,395,541,446,270
101 Dalmatians (One Hundred and One Dalmatians) (1961),601,233,378,438,425,249,182,608,19,307
101 Dalmatians II: Patch's London Adventure (2003),177,590,68,489,525,328,357,483,381,288
101 Reykjavik (101 Reykjavík) (2000),187,132,322,193,16,144,301,41,178,443
102 Dalmatians (2000),307,608,219,226,561,610,477,438,298,414
10th & Wolf (2006),92,576,440,457,236,342,68,271,87,274
"10th Kingdom, The (2000)",249,21,573,561,292,475,298,219,62,610
"10th Victim, The (La decima vittima) (1965)",345,271,555,288,477,469,590,51,387,600
"11'09""01 - September 11 (2002)",489,469,608,132,414,480,221,357,68,275
11:14 (2003),380,414,307,239,249,599,480,425,610,166
"11th Hour, The (2007)",92,576,440,457,236,342,68,271,87,274
12 Angry Men (1957),247,68,438,288,219,307,103,232,608,425
12 Angry Men (1997),68,381,525,232,590,483,274,509,249,328
12 Chairs (1971),339,305,560,62,298,249,41,331,63,18
12 Chairs (1976),339,305,560,62,298,249,41,331,63,18
12 Rounds (2009),274,298,68,62,608,219,561,610,534,414
12 Years a Slave (2013),414,68,608,274,610,292,380,480,182,220
127 Hours (2010),608,274,380,21,298,25,305,182,434,590
13 Assassins (Jûsan-nin no shikaku) (2010),249,608,274,380,298,305,182,590,68,474
13 Ghosts (1960),608,452,368,91,57,19,330,135,570,230
13 Going on 30 (2004),608,561,610,448,288,305,425,64,428,226
13 Hours (2016),249,274,380,339,298,279,68,352,239,317
13 Sins (2014),249,274,380,298,305,68,414,560,561,219
13 Tzameti (2005),339,305,560,62,298,249,41,331,63,18
